title,director,cast,genre,plot,release_date,slug,poster_filename,processed_plot,pre_genre,pre_director,pre_cast
Week-End at the Waldorf,Robert Z. Leonard,"Ginger Rogers, Lana Turner, Walter Pidgeon, Van Johnson",,"Hollywood superstar Irene Malvern is in New York City for a friend's wedding and the premiere of her latest blockbuster. She’s staying at the Waldorf-Astoria . So is weary war correspondent Chip Collyer, catching a quick rest before shipping back out overseas; also there is Air Force Capt. James Hollis, wounded in World War II, facing perilous surgery in three days; so is notorious shyster Martin Edley, trying to hoodwink the Bey of Aribajan into a shady oil deal; both have suites on the same floor as Chip and Irene. Cub reporter Oliver Webson is hoping to expose Edley; bride-to-be Cynthia Drew is stressing over imagined fears her fiancé Dr. ""Bob"" Campbell is in love with childhood friend Irene. Knockout hotel stenographer Bunny Smith hopes to escape her painfully poor roots by marrying rich; and resident Astoria busybody Randy Morton stumbles his way to scoops for his syndicated gossip column. The chronically broke Edley tries to inveigle oil titan Jessup in his scheme but is refused. When Edley learns Jessup will be gone for the weekend, he realizes he has until Monday morning to misrepresent that he has Jessup's backing for his project. In the hotel lobby the departing Jessup overhears that there are no rooms available for a newlywed couple to honeymoon in. Sympathizing, he offers them his apartment while he is gone. Before the war Chip had foiled one of Edley's schemes; by chance Edley sees him, and is immediately suspicious the newsman is there to thwart his dealings with the Bey. Irene is tired of constantly working, lonelier than she will admit, and unhappy about being shipped right back to California to start her next picture as soon as the busy weekend is over. Bunny is called to Dr. Campbell's suite.  The surgeon has just examined Hollis’ dangerous shrapnel wound for a colleague. He dictates a letter saying that the patient has an even chance of surviving an operation, but only with a greater will to live than he is displaying going in. Hollis accidentally drops sheet music written by his best buddy, a fellow crew member who was killed on a mission he had talked him into taking. A waiter finds it and mistakenly delivers it to house bandleader Xavier Cugat , who volunteers to perform it for Hollis on his nationwide radio broadcast the following night from the hotel’s famed Starlight Roof nightclub. Seeking to get an impromptu will notarized Hollis visits the hotel stenographer's office; instead he leaves with a dinner date with Bunny at the Starlight to hear his friend's song's debut. Chip is approached by Webson seeking help on cracking the Edley story. He suggests talking to the Bey, and demonstrates how to sneak into his suite by hiding in a maid's cart. Instead, Chip ends up trapped temporarily inside, then ducks into the nearest doorway to avoid being seen by Edley.  Unknowingly, he has stepped into Irene's suite. Irene's waiting for a visitor - her maid Anna's boyfriend - a charmer whom Anna had confessed intended to steal Irene's jewelry. Anna insisted that he was a good man in a difficult situation, so Irene agreed to meet him and size-up whether he was worth keeping. When she discovers Chip in her room, she assumes he is the thief; he tries to deny it, she won’t let him, and he mischievously resorts to coyly flattering language in a flying flirtation. Irene finds herself attracted, and when he can’t sneak past a hotel detective posted outside her room to protect her jewelry without creating a public scandal, allows him to spend the night bunked on her couch. The next morning Irene learns from Anna the boyfriend never showed, so she snoops in Chip's billfold, sees his military ID, and confronts him. He insists that she created the misunderstanding by disbelieving his denials, and, charming as ever, refuses to leave without breakfast. Before Irene can drive him out, Cynthia shows up threatening to cancel her wedding, convinced fiancé Bob is actually in love with his childhood ""Taffy"". To prove she is no threat, Irene introduces Chip as her new secret ""husband"". In spite of having been sworn to silence, Cynthia immediately gabs the sensational news to her mother, who gossips it to Morton, the newspaper snoop. Bunny takes dictation from Edley in his suite. He tells her that if the deal goes through he will move to New York, and wants to hire her as his confidential secretary. But only if she accompanies him to dinner that night with the Bey at the Starlight. Hollis is there early. He orders dinner for two and has champagne corked before a messenger delivers a note from Bunny expressing her regrets. Shortly afterwards she makes a glamorous entry with the Edley party. Cugat performs Hollis' friend's song. Bunny goes to Hollis to apologize for standing him up. A peck from her turns into a passionate smooch, but Edley’s factotum breaks them up mid-encounter. Irene and her manager leave for the big film premiere. Thanks to Morton, the whole world thinks Chip and she are married, so no one questions his request to be let into her room. When Irene gets back Chip filibusters , citing law books supporting his claim that her introducing him as her spouse constitutes grounds for common-law marriage. Torn over him as always, Irene’s irritation over his impudence triumphs over her impulse to concede. She kicks him out. Incensed by cheeky wording Chip used in agreeing to a statement denying the marriage pressed on him by her manager, Irene finally gives in to her affection for the rascally Romeo and the couple makes up. By Monday morning Webson’s expose breaks, scuttling Edley’s machinations. Bunny cleans out her desk and searches for Hollis before he can leave for his surgery. She finds him, declares she wants to come along, then spend the rest of her life with him. Before Irene can leave for California she receives a call from Chip at the airport. She then rushes to the hotel roof and waves a handkerchief at his passing plane, sealing their romance and pledging her love to him.","October 4, 1945 ( 1945-10-04 )",tt0038239,WeekendAtTheWaldorf.JPG,hollywood superstar iren malvern new york citi friend wed premier latest blockbust stay waldorfastoria weari war correspond chip collyer catch quick rest ship back oversea also air forc capt jame holli wound world war ii face peril surgeri three day notori shyster martin edley tri hoodwink bey aribajan shadi oil deal suit floor chip iren cub report oliv webson hope expo edley bridetob cynthia drew stress imagin fear fiancé dr bob campbel love childhood friend iren knockout hotel stenograph bunni smith hope escap pain poor root marri rich resid astoria busybodi randi morton stumbl way scoop syndic gossip column chronic broke edley tri inveigl oil titan jessup scheme refus edley learn jessup gone weekend realiz monday morn misrepres jessup back project hotel lobbi depart jessup overhear room avail newlyw coupl honeymoon sympath offer apart gone war chip foil one edley scheme chanc edley see immedi suspici newsman thwart deal bey iren tire constantli work loneli admit unhappi ship right back california start next pictur soon busi weekend bunni call dr campbel suit surgeon examin holli danger shrapnel wound colleagu dictat letter say patient even chanc surviv oper greater live display go holli accident drop sheet music written best buddi fellow crew member kill mission talk take waiter find mistakenli deliv hous bandlead xavier cugat volunt perform holli nationwid radio broadcast follow night hotel fame starlight roof nightclub seek get impromptu notar holli visit hotel stenograph offic instead leav dinner date bunni starlight hear friend song debut chip approach webson seek help crack edley stori suggest talk bey demonstr sneak suit hide maid cart instead chip end trap temporarili insid duck nearest doorway avoid seen edley unknowingli step iren suit iren wait visitor maid anna boyfriend charmer anna confess intend steal iren jewelri anna insist good man difficult situat iren agre meet sizeup whether worth keep discov chip room assum thief tri deni let mischiev resort coyli flatter languag fli flirtat iren find attract sneak past hotel detect post outsid room protect jewelri without creat public scandal allow spend night bunk couch next morn iren learn anna boyfriend never show snoop chip billfold see militari id confront insist creat misunderstand disbeliev denial charm ever refus leav without breakfast iren drive cynthia show threaten cancel wed convinc fiancé bob actual love childhood taffi prove threat iren introduc chip new secret husband spite sworn silenc cynthia immedi gab sensat news mother gossip morton newspap snoop bunni take dictat edley suit tell deal goe move new york want hire confidenti secretari accompani dinner night bey starlight holli earli order dinner two champagn cork messeng deliv note bunni express regret shortli afterward make glamor entri edley parti cugat perform holli friend song bunni goe holli apolog stand peck turn passion smooch edley factotum break midencount iren manag leav big film premier thank morton whole world think chip marri one question request let room iren get back chip filibust cite law book support claim introduc spous constitut ground commonlaw marriag torn alway iren irrit impud triumph impuls conced kick incens cheeki word chip use agre statement deni marriag press manag iren final give affect rascal romeo coupl make monday morn webson expo break scuttl edley machin bunni clean desk search holli leav surgeri find declar want come along spend rest life iren leav california receiv call chip airport rush hotel roof wave handkerchief pas plane seal romanc pledg love,,robert z. leonard,"['ginger rogers', 'lana turner', 'walter pidgeon', 'van johnson']"
Weightlessness(2019 film),Mehdi Fard Ghaderi,,Weightlessness ( Persian : بی وزنی - Bi Vazni). is a 2019 Iranian drama thriller film directed by Mehdi Fard Ghaderi and his second feature film after Immortality (2016).,"The morning after a wedding ceremony the groom disappears, not seen since the night before. The bride, the groom's mother, the groom’s sister, and his lover, who came to the wedding uninvited, are looking for the reason for his disappearance. The next day, the women begin blaming each other as their relationships are put to the test.",,tt26757949,,morn wed ceremoni groom disappear seen sinc night bride groom mother groom sister lover came wed uninvit look reason disappear next day woman begin blame relationship put test,weightlessness persian بی وزنی bi vazni,mehdi fard ghaderi,[]
Weirdsville,Allan Moyle,"Scott Speedman, Wes Bentley, Taryn Manning, Greg Bryk, Matt Frewer","Weirdsville is a black comedy film directed by Allan Moyle and written by Willem Wennekers. It premiered on January 18, 2007, at the 2007 Slamdance Film Festival . [ 2 ]","Nothing much happens in the lives of 20-something pals Dexter and Royce except for getting high and hanging out with Royce's girlfriend, Matilda (""Mattie""). This all changes one evening in Northern Ontario town Weedsville when Mattie overdoses on a stash of Dexter and Royce's drugs — drugs fronted by local drug kingpin and tough-guy Omar to sell in order to cover their previous drug debt. Thinking her dead and knowing that calling the cops would only land them in jail the pair decide to bury her in the boiler room of the closed drive-in theater where Royce used to work. The two set off to deal with Mattie's dead body. While the boys begin to dig a grave downstairs, a Satanic cult led by another former employee (and former classmate of Dexter and Royce) Abel enters the supposedly abandoned drive-in and begins a ritual involving pentagrams and human bloodletting in the upstairs concession stand. Their plan is to resurrect Jason Taylor (hippie turned reluctant but rich Internet entrepreneur and Abel's unwitting hero) out of his coma. However, when Dexter walks in mid-sacrifice, everything goes awry. Dexter and Royce are captured, gagged and duct-taped and Mattie's corpse is discovered. But when some of the sacrificed follower's blood unexpectedly ""awakens"" Matilda an all out chase ensues. Royce and Dexter get to her first, and the trio escapes. After safely stowing Mattie in Dexter's apartment, the boys run into Omar and his beefy sidekick Garry, who deliver a few swings of a curling stone and an ultimatum — debt (plus interest) paid by last call or he will severely injure the pair. Knowing that millionaire Jason Taylor has a safe full of money at his place, Dexter and Royce take off to break in and steal it, a plan previously mentioned by Mattie, who knows the combination to Taylor's safe. With a few unexpected bumps along the way, such as running into, accidentally knocking out and then getting high the nephew of Taylor, who was housesitting , Dexter and Royce successfully manage to steal the safe. En route back to Dexter's apartment to grab Mattie, they run into Abel. A classic car chase causes our boys to seek refuge in a mall where they encounter a midget security guard named Martin. After winning his trust (Martin has unresolved issues with cults himself) he lets them leave without further trouble. Meanwhile at the New Age Resource Centre, Mattie (having been kidnapped by Abel) has been tied to an upside-down cross along with an unconscious Jason Taylor. Abel's plan is to offer Lucifer Mattie's life in exchange for Jason's. Dexter and Royce arrive to try and stop the ritual and rescue Mattie. Omar shows up looking to collect his debt and he brought Gary — and his gun — with him. In hot pursuit of Abel and his cult, Martin and his (physically) diminutive friends arrive only to crash into Dex's car, propelling the safe from the trunk into the New Age Centre, crushing Abel. With Abel plan's ruined and his life saved, Taylor gives Dexter and Royce the okay to hand off the safe with all of his money to clear their debt to Omar. They happily flee the scene with Mattie in tow, while Omar and the cult are killed in an explosion.","January 18, 2007 ( 2007-01-18 ) (Slamdance Film Festival)",tt0758798,Weirdsvilleposter.jpg,noth much happen live 20someth pal dexter royc except get high hang royc girlfriend matilda matti chang one even northern ontario town weedsvil matti overdos stash dexter royc drug drug front local drug kingpin toughguy omar sell order cover previou drug debt think dead know call cop would land jail pair decid buri boiler room close drivein theater royc use work two set deal matti dead bodi boy begin dig grave downstair satan cult led anoth former employe former classmat dexter royc abel enter supposedli abandon drivein begin ritual involv pentagram human bloodlet upstair concess stand plan resurrect jason taylor hippi turn reluct rich internet entrepreneur abel unwit hero coma howev dexter walk midsacrific everyth goe awri dexter royc captur gag ducttap matti corp discov sacrif follow blood unexpectedli awaken matilda chase ensu royc dexter get first trio escap safe stow matti dexter apart boy run omar beefi sidekick garri deliv swing curl stone ultimatum debt plu interest paid last call sever injur pair know millionair jason taylor safe full money place dexter royc take break steal plan previous mention matti know combin taylor safe unexpect bump along way run accident knock get high nephew taylor housesit dexter royc success manag steal safe en rout back dexter apart grab matti run abel classic car chase caus boy seek refug mall encount midget secur guard name martin win trust martin unresolv issu cult let leav without troubl meanwhil new age resourc centr matti kidnap abel tie upsidedown cross along unconsci jason taylor abel plan offer lucif matti life exchang jason dexter royc arriv tri stop ritual rescu matti omar show look collect debt brought gari gun hot pursuit abel cult martin physic diminut friend arriv crash dex car propel safe trunk new age centr crush abel abel plan ruin life save taylor give dexter royc okay hand safe money clear debt omar happili flee scene matti tow omar cult kill explos,comedy film directed,allan moyle,"['scott speedman', 'wes bentley', 'taryn manning', 'greg bryk', 'matt frewer']"
Welcome 2 Ibiza,David Winters,"Mariano Alameda, Mackenzie Astin, Gary Busey, Athena Cansino","Welcome 2 Ibiza is a 2002 American action comedy film directed by David Winters and starring Mariano Alameda, Mackenzie Astin , Gary Busey , and Athena Cansino. The screenplay concerns a young American girl who inherits a rundown bar and then gets involved in a hostage rescue drama. The film was shot on location on the Spanish island of Ibiza .  The film was released in Spain and Thailand.","Lauren (Athena Cansino), a young woman from America, learns that her Uncle Sam (director David Winters ) has been missing at sea, and that as a result she inherits his beach bar on the Mediterranean island of Ibiza. When she arrives, she meets Angelito, a young handsome artist. They go to the bar, only to find it in terrible shape. Depressed, Lauren returns to town where she meets two more Americans, (Beth and Marilyn) and Crazy Larry. Beth was currently working in a bar, and Marilyn, is a passionate young dancer who was fired after an altercation with a group of drunk buffoons. Crazy Larry, a wacky British DJ was also recently fired for accidentally throwing up on his boss. Together, the four decide to renovate the bar and get the business running again. Meanwhile, Beth's ex, Nick, has come from the United States to try to get back together with her. They later discover that Angelito's father is being held captive by Cortez, a local gangster ( Busey ).",February 2003 ( 2003-02 ) (Spain),tt0348364,Ibiza2002.jpg,lauren athena cansino young woman america learn uncl sam director david winter miss sea result inherit beach bar mediterranean island ibiza arriv meet angelito young handsom artist go bar find terribl shape depress lauren return town meet two american beth marilyn crazi larri beth current work bar marilyn passion young dancer fire alterc group drunk buffoon crazi larri wacki british dj also recent fire accident throw bos togeth four decid renov bar get busi run meanwhil beth ex nick come unit state tri get back togeth later discov angelito father held captiv cortez local gangster busey,american action comedy film,david winters,"['mariano alameda', 'mackenzie astin', 'gary busey', 'athena cansino']"
Weird Science(film),John Hughes,"Anthony Michael Hall, Ilan Mitchell-Smith, Kelly LeBrock",,"Nerdy social outcast students Gary Wallace and Wyatt Donnelly of Shermer High School are humiliated by senior jocks Ian and Max for swooning over their cheerleader girlfriends Deb and Hilly. Humiliated and disappointed at their direction in life and wanting more, Gary convinces the uptight Wyatt that they need a boost in popularity in order to win their crushes away from Ian and Max. Alone for the weekend with Wyatt's parents gone, Gary is inspired by the 1931 film Frankenstein to create a virtual woman using Wyatt's computer, infusing her with everything they can conceive of to make the perfect dream woman. After they hook electrodes to a doll and hack into a government computer system for more power, a power surge creates Lisa, a beautiful and intelligent woman with reality-altering powers. She promptly produces a pink 1959 Cadillac Eldorado convertible to take the boys to a blues dive bar in Chicago, using her powers to procure fake IDs for them. They return home drunk, where Chet, Wyatt's mean older brother, extorts $175 from Wyatt in exchange for his silence. Lisa agrees to keep herself hidden from him, but she realizes that Gary and Wyatt, while sweet, are very uptight and need to unwind. After another humiliating experience at the mall when Max and Ian pour a slushie on Gary and Wyatt in front of a crowd, Lisa tells the bullies about a party at Wyatt's house, before driving off in a Porsche 928 she conjured for Gary. Despite Wyatt's protests, Lisa insists that the party take place. She meets Gary's parents, Al and Lucy, who are shocked and dismayed at the things she says and her frank manner, to Gary's embarrassment. After she pulls a stainless .44 Magnum on them (later revealed to Gary to be a water pistol ), she alters their memories so that Lucy forgets about the conflict; however, Al forgets that they have a son altogether. At the Donnelly house, the party has spun out of control. Gary and Wyatt take refuge in the bathroom, where they resolve to have fun despite having embarrassed themselves in front of Deb and Hilly. In Wyatt's bedroom, Ian and Max convince Gary and Wyatt to recreate the events that created Lisa, but the process fails. Lisa chides them over their misuse of the process to impress their tormentors. She also explains that they forgot to connect the doll; thus, with the bare but live electrodes resting on a magazine page showing a Pershing II medium-range ballistic missile , a real missile emerges, erupting through the floor and ceiling of the house. Meanwhile, Wyatt's grandparents arrive and confront Lisa about the party, but she places them in a frozen, catatonic state and hides them in a kitchen cupboard. Lisa realizes that the boys need a challenge to boost their confidence and has a gang of mutant bikers crash the party, causing chaos and terrorizing the guests. When the bikers take Deb and Hilly hostage, Wyatt and Gary confront them, causing Deb and Hilly to fall in love with them. The bikers leave, and the next morning, Chet returns from duck hunting to discover the house in disarray, including a localized snowstorm in his room, and the missile. Lisa has the boys escort the girls home while she talks to Chet alone. Gary and Wyatt proclaim their feelings, and both girls reciprocate. Returning to the house, the boys discover Chet, now transformed into a foul, talking toad-like creature. He apologizes to Wyatt for his behavior. Upstairs, Lisa assures them that Chet will soon return to normal, and, realizing that her purpose is complete, tearfully hugs both Gary and Wyatt before de-materializing. As she leaves, the house is ""magically"" cleaned and everything transformed back to normal, including Chet. Wyatt's parents return home, completely unaware that anything unusual has happened. Later, Lisa turns up as the new gym teacher at Shermer High School.","August 2, 1985 ( 1985-08-02 ) (United States)",tt0090305,Movie_poster_for_Weird_Science_(1985).jpg,nerdi social outcast student gari wallac wyatt donnelli shermer high school humili senior jock ian max swoon cheerlead girlfriend deb hilli humili disappoint direct life want gari convinc uptight wyatt need boost popular order win crush away ian max alon weekend wyatt parent gone gari inspir 1931 film frankenstein creat virtual woman use wyatt comput infus everyth conceiv make perfect dream woman hook electrod doll hack govern comput system power power surg creat lisa beauti intellig woman realityalt power promptli produc pink 1959 cadillac eldorado convert take boy blue dive bar chicago use power procur fake id return home drunk chet wyatt mean older brother extort 175 wyatt exchang silenc lisa agre keep hidden realiz gari wyatt sweet uptight need unwind anoth humili experi mall max ian pour slushi gari wyatt front crowd lisa tell bulli parti wyatt hous drive porsch 928 conjur gari despit wyatt protest lisa insist parti take place meet gari parent al luci shock dismay thing say frank manner gari embarrass pull stainless 44 magnum later reveal gari water pistol alter memori luci forget conflict howev al forget son altogeth donnelli hous parti spun control gari wyatt take refug bathroom resolv fun despit embarrass front deb hilli wyatt bedroom ian max convinc gari wyatt recreat event creat lisa process fail lisa chide misus process impress tormentor also explain forgot connect doll thu bare live electrod rest magazin page show persh ii mediumrang ballist missil real missil emerg erupt floor ceil hous meanwhil wyatt grandpar arriv confront lisa parti place frozen cataton state hide kitchen cupboard lisa realiz boy need challeng boost confid gang mutant biker crash parti caus chao terror guest biker take deb hilli hostag wyatt gari confront caus deb hilli fall love biker leav next morn chet return duck hunt discov hous disarray includ local snowstorm room missil lisa boy escort girl home talk chet alon gari wyatt proclaim feel girl reciproc return hous boy discov chet transform foul talk toadlik creatur apolog wyatt behavior upstair lisa assur chet soon return normal realiz purpos complet tear hug gari wyatt demateri leav hous magic clean everyth transform back normal includ chet wyatt parent return home complet unawar anyth unusu happen later lisa turn new gym teacher shermer high school,,john hughes,"['anthony michael hall', 'ilan mitchell-smith', 'kelly lebrock']"
Welcome Aboard Toxic Airlines,Tristan Loraine,,,"This documentary shows that for nearly fifty years, airline passengers and crews have been supplied with unfiltered air, called bleed air , taken directly from the engines. It shows how pressure groups have stated that this air supply sometimes becomes contaminated with neurotoxins , carcinogens , and other hazardous chemicals. [ 1 ] When this contamination occurs on an aeroplane, it is called a "" fume event "". [ 2 ] Many fume events have been reported, some in which the passenger cabin was filled with smoke and fumes. [ 3 ]",30 November 2007 ( 2007-11-30 ),tt1142585,Welcome_Aboard_Toxic_Airlines_poster.jpg,documentari show nearli fifti year airlin passeng crew suppli unfilt air call bleed air taken directli engin show pressur group state air suppli sometim becom contamin neurotoxin carcinogen hazard chemic 1 contamin occur aeroplan call fume event 2 mani fume event report passeng cabin fill smoke fume 3,,tristan loraine,[]
Weirdos(film),Bruce McDonald,"Dylan Authors, Julia Sarah Stone, Molly Parker, Allan Hawco, Cathy Jones",Weirdos is a 2016 Canadian drama film directed by Bruce McDonald and written by Daniel MacIvor . It debuted at the 2016 Toronto International Film Festival . [ 1 ],"Kit (Dylan Authors) is a 15-year-old living in a small town in Nova Scotia with his single father Dave ( Allan Hawco ) and grandmother Mary ( Cathy Jones ). He is dating Alice ( Julia Sarah Stone ) despite being unsure of his own sexuality. Deciding that he wants to go live with his mother Laura ( Molly Parker ) in Sydney , he enlists Alice's help to embark on a hitchhiking trip. Throughout the trip, Kit has regular imaginary conversations with Andy Warhol (Rhys Bevan-John), who has appointed himself Kit's ""spirit animal"".",9 September 2016 ( 2016-09-09 ) ( Toronto ),tt5058014,Weirdos_film_poster.jpg,kit dylan author 15yearold live small town nova scotia singl father dave allan hawco grandmoth mari cathi jone date alic julia sarah stone despit unsur sexual decid want go live mother laura molli parker sydney enlist alic help embark hitchhik trip throughout trip kit regular imaginari convers andi warhol rhi bevanjohn appoint kit spirit anim,canadian drama film directed,bruce mcdonald,"['dylan authors', 'julia sarah stone', 'molly parker', 'allan hawco', 'cathy jones']"
Welcome 2 Karachi,Ashish R Mohan,"Arshad Warsi, Jackky Bhagnani, Lauren Gottlieb, Adnan Shah Tipu, Ali Hyder",,"The story kicks off with two dumb and dumber friends, Captain Shammi Thakur, a courtmartialed navy officer and Kedar Patel, a Gujarati who has been denied a U.S. visa multiple times. Both plan to sail to the United States using a boat but, with a twist of fate, end up on the beach of Karachi , Pakistan . On realizing the truth they both try to escape, while being chased by an ISI Agent . Both get kidnapped by a local don Azher Baluch, who demands ransom from Kedar's father and later releases them in a pathan colony to collect fake passports. But Shami, messes up with a bunch of pathans over an India-Pakistan match. In the struggle to escape from pathans both meet a Talibani militant, who takes them to a Taliban camp where they are misunderstood as Talibani militants. A few days later, Shami and Kedar plans to escape the camp by stealing camp leader's mobile phone, which was actually a detonator of a bomb designed by Taliban to attack NATO army. In attempt to dial a number Shami unknowingly triggers the bomb destroying the Talibani camp itself. Attracted by the explosions, a drone arrives and the two are arrested by American Army. After knowing their situation both are released. They go to Azher Baluch, the only person they know in Pakistan. Baluch makes a deal with ruling minister that in return for an election ticket he will hand over the two guys to him. The minister wants to take the credit of attack on Taliban by announcing both Shami and Kedar as Pakistani soldiers. Soon the two are declared as national heroes by Pakistani media while the Indian media claims them as Indians stuck in Pakistan. Caught in this tug of war Shami and Kedar are once again kidnapped by American army, who promises to deport them to India if they could give the credit of Talibani camp attack to American Army in media. They agree and are sent to Karachi Airport to finally catch a flight back to India. While waiting for their flight, Shami notices a Talibani militant disguised as an airlines pilot. Seeing a possibility of a terror attack they both decide to rescue, being backed by Pakistani army. During crossfire Shami and Kedar manage to overpower the militant and take off with the plane, finally able to depart from Pakistan. The movie ends with both sitting in the cockpit only to find a strange voice behind them (possibly another militant) suggesting them to take a left turn.",28 May 2015 ( 2015-05-28 ),tt4023852,Welcome_to_Karachi.jpeg,stori kick two dumb dumber friend captain shammi thakur courtmarti navi offic kedar patel gujarati deni u visa multipl time plan sail unit state use boat twist fate end beach karachi pakistan realiz truth tri escap chase isi agent get kidnap local azher baluch demand ransom kedar father later releas pathan coloni collect fake passport shami mess bunch pathan indiapakistan match struggl escap pathan meet talibani milit take taliban camp misunderstood talibani milit day later shami kedar plan escap camp steal camp leader mobil phone actual deton bomb design taliban attack nato armi attempt dial number shami unknowingli trigger bomb destroy talibani camp attract explos drone arriv two arrest american armi know situat releas go azher baluch person know pakistan baluch make deal rule minist return elect ticket hand two guy minist want take credit attack taliban announc shami kedar pakistani soldier soon two declar nation hero pakistani medium indian medium claim indian stuck pakistan caught tug war shami kedar kidnap american armi promis deport india could give credit talibani camp attack american armi medium agre sent karachi airport final catch flight back india wait flight shami notic talibani milit disguis airlin pilot see possibl terror attack decid rescu back pakistani armi crossfir shami kedar manag overpow milit take plane final abl depart pakistan movi end sit cockpit find strang voic behind possibl anoth milit suggest take left turn,,ashish r mohan,"['arshad warsi', 'jackky bhagnani', 'lauren gottlieb', 'adnan shah tipu', 'ali hyder']"
Welcome(2009 film),Philippe Lioret,"Vincent Lindon, Firat Ayverdi, Audrey Dana, Olivier Rabourdin, Derya Ayverdi","Welcome is a 2009 French film directed by Philippe Lioret . It stars Vincent Lindon and features Firat Ayverdi and Derya Ayverdi in their inaugural roles. The film was released on 11 March 2009 in France. The director wanted to highlight the plight of immigrants living in Calais , France , and their plans to reach the United Kingdom . [ 3 ]","The film tells the story of Simon Calmat (Vincent Lindon), a French swimming coach who is divorcing his wife Marion (Audrey Dana). Simon tries to help a young Iraqi-Kurd immigrant, Bilal Kayani (Firat Ayverdi), whose dream is to cross the English Channel from Calais in France to the United Kingdom by any means possible to be reunited with his girlfriend Mina (Derya Ayverdi). Meanwhile, Mina's father strongly opposes Bilal's plans as he wants to marry his daughter to her cousin who owns a restaurant. After being caught with other immigrants and returned to France, Simon gives him temporary refuge at his home after the young Bilal, nicknamed ""Bazda"" (runner, for his athletic abilities and love of football and Manchester United in particular) registers for swimming lessons, intending to train to be able to swim across the Channel. After police search Simon's apartment, Bilal goes on a final attempt and drowns 800 meters from the English coast while hiding from the coastguard. Simon then travels to inform Mina.",7 February 2009 ( 2009-02-07 ) ( Berlinale ) 11 March 2009 ( 2009-03-11 ) (France),tt1314280,Welcome-philippe-lioret.jpg,film tell stori simon calmat vincent lindon french swim coach divorc wife marion audrey dana simon tri help young iraqikurd immigr bilal kayani firat ayverdi whose dream cross english channel calai franc unit kingdom mean possibl reunit girlfriend mina derya ayverdi meanwhil mina father strongli oppos bilal plan want marri daughter cousin own restaur caught immigr return franc simon give temporari refug home young bilal nicknam bazda runner athlet abil love footbal manchest unit particular regist swim lesson intend train abl swim across channel polic search simon apart bilal goe final attempt drown 800 meter english coast hide coastguard simon travel inform mina,french film directed,philippe lioret,"['vincent lindon', 'firat ayverdi', 'audrey dana', 'olivier rabourdin', 'derya ayverdi']"
Weird Woman,Reginald Le Borg,"Lon Chaney Jr., Anne Gwynne, Evelyn Ankers",,"Professor Norman Reed falls in love with and marries a woman named Paula during their vacation in the South Seas. Upon returning to his hometown, she is met with a cool reception by much of the community, particularly Ilona, who had believed Reed was destined for her. Bizarre incidents begin to occur, including the death of a colleague, which further alienates Paula, especially given her beliefs in voodoo and other supernatural phenomena. Reed must work diligently to prove Paula's innocence and uncover the true perpetrator behind these strange events. [ 3 ] [ 4 ]","March 1, 1944 ( 1944-03-01 ) (United States)",tt0037453,Weird_Woman_poster.jpg,professor norman reed fall love marri woman name paula vacat south sea upon return hometown met cool recept much commun particularli ilona believ reed destin bizarr incid begin occur includ death colleagu alien paula especi given belief voodoo supernatur phenomenon reed must work dilig prove paula innoc uncov true perpetr behind strang event 3 4,,reginald le borg,"['lon chaney jr.', 'anne gwynne', 'evelyn ankers']"
Welcome Home(1935 film),James Tinling,"James Dunn, Arline Judge, Raymond Walburn, Rosina Lawrence, William Frawley",,"Elmdale's chamber of commerce is all but broke. A decision is made to spend what remains of the budget on a reunion that hopefully will entice one of America's wealthiest men, Andrew Anstruther, to return to the place of his birth and build a new factory there. Con men get wind of it. Richard ""Dickie"" Foster is the brains of a quartet of con-artists that includes 'Giltedge', a fake bond salesman; 'Painless', a gold-tooth-stealing phoney dentist; and 'Gorgeous', Dickies girlfriend. They have already taken the town for $10,000 in bogus bonds. Anstruther takes a liking to Dickie, but Giltedge swindles the millionaire out of $36,000 for worthless bonds. Dickie bets on a horse for Susan's sake to win the money back, but the horse loses. The crooks are charged with murder after Anstruther vanishes, but he turns up just in time to vouch for Dickie as a friend. After he learns Susan has a boyfriend, Dickie goes back to the arms of Gorgeous, who tells him, ""Welcome home."" [ 4 ]","August 9, 1935 ( 1935-08-09 )",tt0027191,Judge_Dunn_Lawrence_Welcome_Home.jpg,elmdal chamber commerc broke decis made spend remain budget reunion hope entic one america wealthiest men andrew anstruth return place birth build new factori con men get wind richard dicki foster brain quartet conartist includ giltedg fake bond salesman painless goldtoothst phoney dentist gorgeou dicki girlfriend alreadi taken town 10000 bogu bond anstruth take like dicki giltedg swindl millionair 36000 worthless bond dicki bet hors susan sake win money back hors lose crook charg murder anstruth vanish turn time vouch dicki friend learn susan boyfriend dicki goe back arm gorgeou tell welcom home 4,,james tinling,"['james dunn', 'arline judge', 'raymond walburn', 'rosina lawrence', 'william frawley']"
